ID,generation,school1,major type,major1_1,major1_2,major_data,job,class1,class2,class3,class4,re_registration,contest_award,nationality,inflow_route,whyBDA,what_to_gain,hope_for_group,previous_class_3,previous_class_4,previous_class_5,previous_class_6,previous_class_7,major_field,desired_career_path,completed_semester,project_type,time_input,desired_job,certificate_acquisition,desired_certificate,certificate_study_period,desired_job_except_data,incumbents_level,incumbents_lecture,incumbents_company_level,incumbents_lecture_type,incumbents_lecture_scale,incumbents_lecture_scale_reason,interested_company,expected_domain,contest_participitation,idea_contest,onedayclass_topic,withdrawal
TRAIN_0000,8,3e0057be3ecde495d1d6aab0bdc3092cce94440a6a4f6867a0ea69e07d8c7f7f,단일 전공,IT(컴퓨터 공학 포함),,False,대학생,4,,,,아니요,,내국인,에브리타임,"BDA 학회원만의 혜택을 누리고 싶어서(현직자 강연, 잡 페스티벌, 기업연계 공모전 등)",프로젝트 경험,네. 오프라인으로 참여하고 싶어요,,,,,,공학 (컴퓨터 공학 제외),취업,대학교 이수학기 4학기 이하,팀,4.5,데이터 엔지니어,없음,"SQLD, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),개발,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,인원이 너무 많지 않아야 편하게 들을 수 있어서,삼성이나 하이닉스,AI,,,C++ 응용,1
TRAIN_0001,8,c7c76d1a4c9d719d17c899a3ca9de153452a22163fe083fb53d5633126c2503d,"복수 전공 ( 다중전공, 이중전공 포함 )",IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),False,대학생,4,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,프로젝트 경험,네. 오프라인으로 참여하고 싶어요,,,,,,IT (컴퓨터 공학 포함),취업,대학교 이수학기 5학기 이상,팀,2.0,인공지능 전문가,없음,"ADsP, SQLD, 빅데이터 분석 기사",시험일 전 4주 (2/1 ~ 2/27),AI,주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",10명 내외의 강의 리스너와 1명의 현직자,인원이 적어야 집중할 수 있고 질문 하기 쉽다.,네이버,AI,,,.,1
TRAIN_0002,8,1ed9296bd2a05ea36fabb5171a003b7320bb21a53d6135f0981f0daaebffabc9,단일 전공,IT(컴퓨터 공학 포함),,True,대학생,4,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,IT (컴퓨터 공학 포함),취업,대학교 이수학기 4학기 이하,팀,3.0,데이터 분석가,없음,빅데이터 분석 기사,시험일 전 4주 (2/1 ~ 2/27),AI,시니어 (10년차 ~),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,너무 소수인원은 조금 부담스럽고 너무 많은 인원은 집중도가 떨어질거같아서,스포츠분석 기업,AI,139ac02d03d83f839197195e65bc1810ef5282ade32d804efbdcf25417ebb160,,C언어 기초,1
TRAIN_0003,8,5ec50ef5a0c0416652f8d67a89ef4c02eb0c6a61b5d0a8fd8a4f3f6640a3e668,단일 전공,IT(컴퓨터 공학 포함),,True,대학생,7,,,,아니요,,내국인,에브리타임,현직자의 강의를 듣고 싶어서,데이터 분석 역량,네. 온라인으로 참여하고 싶어요,,,,,,자연과학,취업,대학교 이수학기 5학기 이상,팀,2.0,데이터 분석가,컴퓨터활용능력,"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),AI,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,너무 많은 인원이 있을 경우 집중도가 떨어질 거 같습니다.,토스,AI,,,현직자의 취업과정,0
TRAIN_0004,8,c7c76d1a4c9d719d17c899a3ca9de153452a22163fe083fb53d5633126c2503d,"복수 전공 ( 다중전공, 이중전공 포함 )",IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),False,대학생,7,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,공모전 경험,네. 오프라인으로 참여하고 싶어요,,,,,,"IT (컴퓨터 공학 포함), 인문학",취업,대학교 이수학기 5학기 이상,팀,1.5,데이터 분석가,SQLD,"ADsP, 빅데이터 분석 기사, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),개발,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)",오프라인,100명 이상의 리스너와 10명 이상의 현직자,많은 현직자분들의 이야기를 듣고싶어서,네이버 카카오,금융,,,C언어,1
TRAIN_0005,8,bb3efd26fa1ad74abe9a8b4c35ab12cbaac816071904bf6d37c6edb130edf4bc,단일 전공,IT(컴퓨터 공학 포함),,False,대학생,4,,,,예,,내국인,기존 학회원 또는 운영진,혼자 공부하기 어려워서,데이터 분석 역량,아니요. 개인적으로 학회 활동을 하고 싶어요,해당없음,해당없음,해당없음,해당없음,파문기,공학 (컴퓨터 공학 제외),취업,대학교 이수학기 4학기 이하,팀,2.0,데이터 엔지니어,없음,빅데이터 분석 기사,시험일 전 4주 (2/1 ~ 2/27),"자동차, 반도체",주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카쿠라배당토),오프라인,3~50명 내외의 강의 리스너와 1명의 현직자,강의를 듣고 질문하기에 적절한 인원이라 판단,"현대자동차, 삼성, 하이닉스",반도체,,,"python 문제풀이반 (배운 내용과 관련된, 백준이나 프로그래머스 문제)",1
TRAIN_0006,8,f9b3fde8c9af1daccfab54aa9c3d803bbac0ccf04a708086b9448af47206afe1,"복수 전공 ( 다중전공, 이중전공 포함 )",의약학,인문학,False,대학생,2,5.0,,,아니요,,내국인,인스타그램,혼자 공부하기 어려워서,프로젝트 경험,네. 오프라인으로 참여하고 싶어요,,,,,,"IT (컴퓨터 공학 포함), 자연과학",대학원 진학과 취업 중 고민,대학교 이수학기 5학기 이상,팀,3.0,"자연과학계열 연구자, 데이터 분석가",없음,"SQLD, 빅데이터 분석 기사",시험일 전 4주 (2/1 ~ 2/27),바이오인포매틱스,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),바이오 관련 기업,"온,오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,많은 인원일수록 주고 받는 질의응답이나 정보의 규모가 더 풍부해진다고 생각해서,아직 생각해본 적 없습니다,의료/헬스케어,,,없음,1
TRAIN_0007,8,8aa35857f2ad2c408b2ffa2913d345b74052fd2caebb0546af3541902fe03979,단일 전공,교육학,,False,대학생,4,6.0,,,아니요,,내국인,인스타그램,혼자 공부하기 어려워서,공모전 경험,네. 온라인으로 참여하고 싶어요,,,,,,교육학,대학원 진학,대학교 이수학기 4학기 이하,팀,2.0,데이터 사이언티스트,없음,"ADsP, SQLD, 구글 애널리스트",시험일 전 4주 (2/1 ~ 2/27),개발,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),해외 기업 (빅테크),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,너무 인원이 많으면 집중이 어려움,에누마,자연어 처리 및 이미지 분석,,,컴퓨터 사이언스(CS) 기초,1
TRAIN_0008,8,925d9b5de199c382125fbeaebd186553b80f8bd0401c593ea7106a508984adb1,"복수 전공 ( 다중전공, 이중전공 포함 )",사회과학,경영학,False,대학생,4,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,인적 네트워크,네. 오프라인으로 참여하고 싶어요,,,,,,"경영학, 사회과학",취업,대학교 이수학기 5학기 이상,팀,4.0,데이터 분석가,"ADsP, SQLD","빅데이터 분석 기사, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),"금융, 보험",시니어 (10년차 ~),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,리스너 수가 너무 적게 설정되어 있으면 신청하기 어려울 것 같아서,"스포티파이, 유튜브",금융,,,시각화 반,0
TRAIN_0009,8,1ed9296bd2a05ea36fabb5171a003b7320bb21a53d6135f0981f0daaebffabc9,단일 전공,IT(컴퓨터 공학 포함),,True,대학생,6,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,프로젝트 경험,네. 오프라인으로 참여하고 싶어요,,,,,,IT (컴퓨터 공학 포함),취업,대학교 이수학기 5학기 이상,팀,2.0,데이터 사이언티스트,없음,"ADsP, SQLD, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),"기획, 전략",주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,다양한 현직자님의 강의를 듣고 싶어서,"LG, 하이닉스",환경 및 에너지,,,데이터 분석 프로젝트,0
