ID,withdrawal
TRAIN_0000,1
TRAIN_0001,1
TRAIN_0002,1
TRAIN_0003,0
TRAIN_0004,1
TRAIN_0005,1
TRAIN_0006,1
TRAIN_0007,1
TRAIN_0008,0
TRAIN_0009,0
TRAIN_0010,0
TRAIN_0011,1
TRAIN_0012,1
TRAIN_0013,1
TRAIN_0014,1
TRAIN_0015,1
TRAIN_0016,1
TRAIN_0017,1
TRAIN_0018,0
TRAIN_0019,0
TRAIN_0020,1
TRAIN_0021,1
TRAIN_0022,1
TRAIN_0023,0
TRAIN_0024,0
TRAIN_0025,1
TRAIN_0026,1
TRAIN_0027,0
TRAIN_0028,1
TRAIN_0029,1
TRAIN_0030,1
TRAIN_0031,1
TRAIN_0032,0
TRAIN_0033,1
TRAIN_0034,1
TRAIN_0035,1
TRAIN_0036,0
TRAIN_0037,1
TRAIN_0038,0
TRAIN_0039,1
TRAIN_0040,0
TRAIN_0041,0
TRAIN_0042,1
TRAIN_0043,0
TRAIN_0044,1
TRAIN_0045,1
TRAIN_0046,1
TRAIN_0047,1
TRAIN_0048,1
TRAIN_0049,1
TRAIN_0050,0
TRAIN_0051,1
TRAIN_0052,1
TRAIN_0053,1
TRAIN_0054,1
TRAIN_0055,1
TRAIN_0056,0
TRAIN_0057,1
TRAIN_0058,1
TRAIN_0059,1
TRAIN_0060,1
TRAIN_0061,1
TRAIN_0062,0
TRAIN_0063,1
TRAIN_0064,0
TRAIN_0065,1
TRAIN_0066,1
TRAIN_0067,1
TRAIN_0068,1
TRAIN_0069,1
TRAIN_0070,1
TRAIN_0071,1
TRAIN_0072,1
TRAIN_0073,0
TRAIN_0074,0
TRAIN_0075,1
TRAIN_0076,1
TRAIN_0077,1
TRAIN_0078,1
TRAIN_0079,1
TRAIN_0080,1
TRAIN_0081,0
TRAIN_0082,1
TRAIN_0083,0
TRAIN_0084,0
TRAIN_0085,1
TRAIN_0086,0
TRAIN_0087,1
TRAIN_0088,0
TRAIN_0089,1
TRAIN_0090,0
TRAIN_0091,1
TRAIN_0092,0
TRAIN_0093,1
TRAIN_0094,0
TRAIN_0095,1
TRAIN_0096,1
TRAIN_0097,1
TRAIN_0098,1
TRAIN_0099,1
TRAIN_0100,0
TRAIN_0101,1
TRAIN_0102,0
TRAIN_0103,1
TRAIN_0104,1
TRAIN_0105,1
TRAIN_0106,1
TRAIN_0107,1
TRAIN_0108,1
TRAIN_0109,0
TRAIN_0110,1
TRAIN_0111,1
TRAIN_0112,1
TRAIN_0113,1
TRAIN_0114,0
TRAIN_0115,0
TRAIN_0116,0
TRAIN_0117,1
TRAIN_0118,1
TRAIN_0119,0
TRAIN_0120,1
TRAIN_0121,1
TRAIN_0122,1
TRAIN_0123,0
TRAIN_0124,1
TRAIN_0125,0
TRAIN_0126,0
TRAIN_0127,0
TRAIN_0128,0
TRAIN_0129,1
TRAIN_0130,1
TRAIN_0131,0
TRAIN_0132,0
TRAIN_0133,1
TRAIN_0134,1
TRAIN_0135,1
TRAIN_0136,1
TRAIN_0137,1
TRAIN_0138,1
TRAIN_0139,1
TRAIN_0140,1
TRAIN_0141,1
TRAIN_0142,1
TRAIN_0143,1
TRAIN_0144,1
TRAIN_0145,1
TRAIN_0146,1
TRAIN_0147,0
TRAIN_0148,1
TRAIN_0149,1
TRAIN_0150,1
TRAIN_0151,0
TRAIN_0152,1
TRAIN_0153,1
TRAIN_0154,1
TRAIN_0155,1
TRAIN_0156,0
TRAIN_0157,1
TRAIN_0158,1
TRAIN_0159,0
TRAIN_0160,1
TRAIN_0161,1
TRAIN_0162,0
TRAIN_0163,0
TRAIN_0164,1
TRAIN_0165,1
TRAIN_0166,1
TRAIN_0167,1
TRAIN_0168,1
TRAIN_0169,0
TRAIN_0170,1
TRAIN_0171,1
TRAIN_0172,0
TRAIN_0173,1
TRAIN_0174,1
TRAIN_0175,1
TRAIN_0176,1
TRAIN_0177,0
TRAIN_0178,1
TRAIN_0179,1
TRAIN_0180,1
TRAIN_0181,1
TRAIN_0182,0
TRAIN_0183,1
TRAIN_0184,1
TRAIN_0185,1
TRAIN_0186,1
TRAIN_0187,1
TRAIN_0188,1
TRAIN_0189,1
TRAIN_0190,1
TRAIN_0191,1
TRAIN_0192,1
TRAIN_0193,0
TRAIN_0194,1
TRAIN_0195,1
TRAIN_0196,1
TRAIN_0197,1
TRAIN_0198,1
TRAIN_0199,0
TRAIN_0200,0
TRAIN_0201,0
TRAIN_0202,1
TRAIN_0203,1
TRAIN_0204,0
TRAIN_0205,0
TRAIN_0206,1
TRAIN_0207,1
TRAIN_0208,0
TRAIN_0209,1
TRAIN_0210,1
TRAIN_0211,1
TRAIN_0212,1
TRAIN_0213,1
TRAIN_0214,1
TRAIN_0215,0
TRAIN_0216,1
TRAIN_0217,1
TRAIN_0218,0
TRAIN_0219,0
TRAIN_0220,0
TRAIN_0221,0
TRAIN_0222,0
TRAIN_0223,0
TRAIN_0224,1
TRAIN_0225,0
TRAIN_0226,0
TRAIN_0227,0
TRAIN_0228,1
TRAIN_0229,1
TRAIN_0230,1
TRAIN_0231,1
TRAIN_0232,1
TRAIN_0233,1
TRAIN_0234,1
TRAIN_0235,1
TRAIN_0236,1
TRAIN_0237,1
TRAIN_0238,0
TRAIN_0239,1
TRAIN_0240,0
TRAIN_0241,1
TRAIN_0242,0
TRAIN_0243,0
TRAIN_0244,1
TRAIN_0245,1
TRAIN_0246,1
TRAIN_0247,1
TRAIN_0248,0
TRAIN_0249,1
TRAIN_0250,0
TRAIN_0251,0
TRAIN_0252,1
TRAIN_0253,0
TRAIN_0254,1
TRAIN_0255,1
TRAIN_0256,1
TRAIN_0257,1
TRAIN_0258,1
TRAIN_0259,1
TRAIN_0260,1
TRAIN_0261,1
TRAIN_0262,1
TRAIN_0263,1
TRAIN_0264,1
TRAIN_0265,0
TRAIN_0266,0
TRAIN_0267,1
TRAIN_0268,1
